teamname,teamwebsite,otherwebsite,teamnameshort,sportid,eventgroupid,sport,jsonobject,secretsheader
Vegas Golden Knights,https://www.nhl.com/goldenknights/,None,Knights,3,42133,NHL,"{""teamname"": ""Vegas Golden Knights"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/goldenknights/""}",team_list_NHL_Knights
Washington Capitals,https://www.nhl.com/capitals/,None,Capitals,3,42133,NHL,"{""teamname"": ""Washington Capitals"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/capitals/""}",team_list_NHL_Capitals
Winnipeg Jets,https://www.nhl.com/jets,None,Jets,3,42133,NHL,"{""teamname"": ""Winnipeg Jets"", ""sportid"": 3, ""eventgroupid"": 42133, ""teamwebsite"": ""https://www.nhl.com/jets/""}",team_list_NHL_Jets
Atlanta Hawks,https://www.nba.com/hawks/,None,Hawks,4,42648,NBA,"{""teamname"": ""Atlanta Hawks"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/hawks/""}",team_list_NBA_Hawks
Boston Celtics,https://www.nba.com/celtics/,None,Celtics,4,42648,NBA,"{""teamname"": ""Boston Celtics"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/celtics/""}",team_list_NBA_Celtics
Brooklyn Nets,https://www.nba.com/nets/,None,Nets,4,42648,NBA,"{""teamname"": ""Brooklyn Nets"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/nets/""}",team_list_NBA_Nets
Charlotte Hornets,https://www.nba.com/hornets/,None,Hornets,4,42648,NBA,"{""teamname"": ""Charlotte Hornets"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/hornets/""}",team_list_NBA_Hornets
Chicago Bulls,https://www.nba.com/bulls/,None,Bulls,4,42648,NBA,"{""teamname"": ""Chicago Bulls"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/bulls/""}",team_list_NBA_Bulls
Cleveland Cavaliers,https://www.nba.com/cavaliers/,None,Cavaliers,4,42648,NBA,"{""teamname"": ""Cleveland Cavaliers"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/cavaliers/""}",team_list_NBA_Cavaliers
Dallas Mavericks,https://www.nba.com/mavericks/,None,Mavericks,4,42648,NBA,"{""teamname"": ""Dallas Mavericks"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/mavericks/""}",team_list_NBA_Mavericks
Denver Nuggets,https://www.nba.com/nuggets/,None,Nuggets,4,42648,NBA,"{""teamname"": ""Denver Nuggets"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/nuggets/""}",team_list_NBA_Nuggets
Detroit Pistons,https://www.nba.com/pistons/,None,Pistons,4,42648,NBA,"{""teamname"": ""Detroit Pistons"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/pistons/""}",team_list_NBA_Pistons
Golden State Warriors,https://www.nba.com/warriors/,None,Wariors,4,42648,NBA,"{""teamname"": ""Golden State Warriors"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/warriors/""}",team_list_NBA_Wariors
